IMO,MainEngineKW,Deadweight,GrossRatedTonnage,Yearbuilt,Annual average Fuel consumption per distance [kg / n mile]
8905787,3360.0,12223,9094,1995,84.3
8905787,3360.0,12223,9094,1995,84.58
9010929,4080.0,8000,5045,1993,72.1
9010929,4080.0,8000,5045,1993,115.66
9010929,4080.0,8000,5045,1993,123.98
9114608,16859.0,148435,79832,1996,271.81
9125279,5400.0,10044,6877,1996,75.45
9125279,5400.0,10044,6877,1996,67.33
9125279,5400.0,10044,6877,1996,82.97
9144794,14004.0,106504,56127,1998,204.86
9144794,14004.0,106504,56127,1998,217.68
9145437,7940.0,33757,21682,2002,125.11
9145437,7940.0,33757,21682,2002,133.63
9145437,7940.0,33757,21682,2002,121.91
9152820,6000.0,12008,9835,1997,151.64
9152820,6000.0,12008,9835,1997,208.94
9153214,5400.0,12924,8930,1998,69.4
9153214,5400.0,12924,8930,1998,58.96
9153214,5400.0,12924,8930,1998,66.0
9156539,6300.0,16116,11270,1999,77.11
9156539,6300.0,16116,11270,1999,87.18
9158161,8310.0,47431,27526,1999,109.98
9158161,8310.0,47431,27526,1999,143.97
9162916,8561.0,47198,28400,1997,95.4
9166314,5760.0,12712,8886,1999,58.99
9167148,7150.0,34999,22181,1999,103.75
9169615,17816.0,153617,88109,1999,292.39
9169615,17816.0,153617,88109,1999,388.79
9169615,17816.0,153617,88109,1999,240.91
9169768,5300.0,15441,10321,1999,124.82
9169768,5300.0,15441,10321,1999,158.1
9169768,5300.0,15441,10321,1999,141.95
9169782,5300.0,15441,10321,1999,62.05
9169782,5300.0,15441,10321,1999,85.76
9169782,5300.0,15441,10321,1999,87.98
9171175,8580.0,19740,13846,2000,79.23
9171175,8580.0,19740,13846,2000,110.71
9171187,8580.0,19787,13846,2000,84.86
9171187,8580.0,19787,13846,2000,88.54
9171345,8580.0,44990,27254,2000,280.83
9171357,8580.0,44990,27254,2000,133.6
9171357,8580.0,44990,27254,2000,118.67
9172870,8562.0,35161,24185,1999,191.95
9172870,8562.0,35161,24185,1999,213.57
9172870,8562.0,35161,24185,1999,246.3
9173032,2942.0,7076,5281,1998,46.51
9173032,2942.0,7076,5281,1998,51.61
9173733,14049.0,105401,56841,1999,163.65
9175078,16852.0,157327,81565,1999,216.77
9176761,12269.0,74999,39283,1999,165.56
9176761,12269.0,74999,39283,1999,163.58
9176773,11040.0,76002,39283,2000,135.65
9176773,11040.0,76002,39283,2000,196.95
9178044,8562.0,47165,28546,1999,189.76
9178068,8562.0,47106,28546,1999,98.13
9178068,8562.0,47106,28546,1999,132.92
9180126,14049.0,98774,53074,1998,217.95
9180126,14049.0,98774,53074,1998,275.28
9180126,14049.0,98774,53074,1998,240.55
9180164,25468.0,306307,160216,2000,250.46
9182306,22942.0,298677,159397,2000,222.68
9182784,6480.0,18596,11377,2000,111.45
9182784,6480.0,18596,11377,2000,91.23
9185528,15226.0,159959,81151,2000,218.84
9185528,15226.0,159959,81151,2000,196.42
9185530,16916.0,159901,81151,2000,200.37
9185530,16916.0,159901,81151,2000,205.94
9186625,8561.0,47221,28547,1999,95.21
9187057,3840.0,8297,5396,1999,51.54
9187057,3840.0,8297,5396,1999,50.15
9187057,3840.0,8297,5396,1999,49.91
9187227,18630.0,159999,81093,2000,213.28
9187227,18630.0,159999,81093,2000,196.54
9187239,18630.0,159998,81093,2000,179.59
9187239,18630.0,159998,81093,2000,237.68
9187394,5490.0,13677,8882,2001,86.49
9187394,5490.0,13677,8882,2001,54.38
9188099,16388.0,126873,76836,1999,283.41
9188788,16852.0,157449,81565,2000,177.74
9188788,16852.0,157449,81565,2000,194.97
9189110,10370.0,73083,40037,2000,217.22
9192260,14314.0,105856,57680,2000,163.0
9194000,8580.0,19800,13815,2002,181.93
9194000,8580.0,19800,13815,2002,101.13
9194000,8580.0,19800,13815,2002,189.29
9194139,14049.0,99123,56115,1999,200.41
9194995,16460.0,150183,78918,2000,154.84
9196632,25487.0,298561,159383,2002,203.95
9198094,11041.0,104643,58125,2000,146.11
9198094,11041.0,104643,58125,2000,127.13
9199713,11843.0,106644,57331,1999,146.3
9199713,11843.0,106644,57331,1999,164.45
9199713,11843.0,106644,57331,1999,158.15
9203784,16859.0,160373,83724,2000,190.88
9204752,20020.0,126749,72449,1999,274.66
9204752,20020.0,126749,72449,1999,271.58
9204764,8340.0,32230,21353,2000,100.28
9204764,8340.0,32230,21353,2000,112.27
9204764,8340.0,32230,21353,2000,160.64
9204776,8340.0,32238,21353,2001,105.17
9204776,8340.0,32238,21353,2001,101.1
9205067,16859.0,153019,79812,2001,229.86
9205067,16859.0,153019,79812,2001,298.65
9205067,16859.0,153019,79812,2001,272.26
9206671,24538.0,108073,63051,2001,336.92
9206671,24538.0,108073,63051,2001,317.27
9206671,24538.0,108073,63051,2001,318.86
9207027,16859.0,160240,83724,2000,229.33
9207027,16859.0,160240,83724,2000,190.63
9208069,15403.0,147080,80870,2000,176.22
9209130,12880.0,100257,55756,2001,268.68
9209130,12880.0,100257,55756,2001,241.52
9209130,12880.0,100257,55756,2001,239.42
9210919,9000.0,35795,23375,2002,151.04
9210919,9000.0,35795,23375,2002,120.35
9212412,7878.0,35775,23740,2000,129.87
9212412,7878.0,35775,23740,2000,143.96
9212412,7878.0,35775,23740,2000,135.22
9212759,16859.0,160383,83724,2001,218.44
9212759,16859.0,160383,83724,2001,233.14
9213313,13976.0,112118,62385,2001,183.49
9215050,15540.0,109326,61764,2001,207.67
9219056,18624.0,164626,82250,2001,110.98
9220914,8580.0,42721,25063,2001,117.47
9220914,8580.0,42721,25063,2001,115.49
9220926,8580.0,39999,25063,2001,121.95
9220926,8580.0,39999,25063,2001,113.18
9220938,8580.0,42721,25063,2001,111.28
9220938,8580.0,42721,25063,2001,122.19
9221657,10002.0,68467,39085,2001,134.02
9221891,14249.0,105815,59827,2001,228.14
9222132,11517.0,72910,43075,2001,130.79
9222132,11517.0,72910,43075,2001,264.87
9222649,8562.0,47087,28553,2001,106.22
9222704,9268.0,45869,28077,2000,137.19
9222704,9268.0,45869,28077,2000,126.53
9224283,18624.0,160200,81310,2002,162.57
9224283,18624.0,160200,81310,2002,140.95
9224439,18624.0,159167,81085,2001,181.58
9224441,18624.0,159173,81085,2002,530.08
9224441,18624.0,159173,81085,2002,169.06
9224453,18624.0,159196,81085,2002,175.42
9224453,18624.0,159196,81085,2002,226.31
9224465,18624.0,159184,81085,2002,182.79
9224465,18624.0,159184,81085,2002,259.45
9226970,14049.0,98893,56115,2001,171.58
9227443,18624.0,164214,84598,2002,150.83
9227443,18624.0,164214,84598,2002,165.57
9227443,18624.0,164214,84598,2002,175.07
9228784,8580.0,40050,24997,2002,121.79
9228784,8580.0,40050,24997,2002,105.83
9229013,3840.0,9974,6688,2001,532.67
